game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,31-206,MIL,@,HOU,W (+6),0,16:35,1,3,.333,0,2,.000,0,3,.000,0,2,2,1,0,0,1,3,2,-1.8,-4
2,2019-10-26,31-208,MIL,,MIA,L (-5),0,12:46,3,6,.500,0,2,.000,0,0,,0,1,1,0,0,0,1,2,6,1.5,-1
3,2019-10-28,31-210,MIL,,CLE,W (+17),0,17:24,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,2,2,3,2,0.2,+6
4,2019-10-30,31-212,MIL,@,BOS,L (-11),0,13:30,1,3,.333,1,3,.333,0,0,,0,2,2,0,1,0,0,2,3,2.1,+6
5,2019-11-01,31-214,MIL,@,ORL,W (+32),0,17:59,2,2,1.000,2,2,1.000,0,0,,1,4,5,1,1,1,1,0,6,8.7,+14
6,2019-11-02,31-215,MIL,,TOR,W (+10),0,11:11,2,6,.333,0,2,.000,2,2,1.000,0,2,2,1,0,0,0,1,6,3.5,0
7,2019-11-04,31-217,MIL,@,MIN,W (+28),0,18:33,0,2,.000,0,1,.000,1,2,.500,2,1,3,2,0,1,1,2,1,1.2,+6
8,2019-11-06,31-219,MIL,@,LAC,W (+5),0,13:33,3,6,.500,0,3,.000,1,2,.500,0,3,3,0,0,1,1,1,7,3.8,0
9,2019-11-08,31-221,MIL,@,UTA,L (-3),0,14:15,2,4,.500,0,0,,1,2,.500,1,0,1,0,0,0,1,2,5,1.5,-8
10,2019-11-10,31-223,MIL,@,OKC,W (+2),0,9:13,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,2,0,0,-2.4,-2
