game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-352,SAS,,NYK,W (+9),1,24:17,3,4,.750,0,1,.000,2,2,1.000,1,10,11,0,0,0,1,4,8,7.5,+9
2,2019-10-26,23-355,SAS,,WAS,W (+2),1,17:40,1,5,.200,0,0,,0,0,,5,2,7,3,0,0,0,0,2,5.1,+7
3,2019-10-28,23-357,SAS,,POR,W (+3),1,24:38,0,2,.000,0,2,.000,0,0,,1,7,8,4,0,0,2,2,0,1.4,-3
4,2019-10-31,23-360,SAS,@,LAC,L (-6),1,12:49,2,2,1.000,0,0,,0,0,,2,2,4,0,0,0,0,1,4,5.0,-4
5,2019-11-01,23-361,SAS,@,GSW,W (+17),1,28:10,0,4,.000,0,3,.000,0,0,,1,13,14,3,0,0,0,0,0,3.9,+3
6,2019-11-03,23-363,SAS,,LAL,L (-7),1,14:07,2,3,.667,0,1,.000,0,0,,0,2,2,0,1,0,1,1,4,2.9,-3
7,2019-11-05,24-000,SAS,@,ATL,L (-8),1,19:41,3,4,.750,1,2,.500,1,4,.250,4,8,12,1,0,1,0,1,8,11.4,-8
8,2019-11-07,24-002,SAS,,OKC,W (+9),1,20:35,3,5,.600,2,2,1.000,0,0,,3,1,4,1,0,0,0,3,8,7.6,+12
9,2019-11-09,24-004,SAS,,BOS,L (-20),1,21:23,3,5,.600,3,5,.600,1,1,1.000,0,8,8,0,0,1,2,1,10,8.4,-12
10,2019-11-11,24-006,SAS,,MEM,L (-4),1,18:05,3,5,.600,1,2,.500,0,0,,2,5,7,0,0,1,0,2,7,7.5,0
