game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,29-329,ORL,,CLE,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,29-332,ORL,@,ATL,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,29-334,ORL,@,TOR,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,29-336,ORL,,NYK,W (+12),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-01,29-338,ORL,,MIL,L (-32),0,5:36,2,4,.500,0,0,,0,0,,1,0,1,1,1,0,0,0,4,4.4,-2
,2019-11-02,29-339,ORL,,DEN,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,29-342,ORL,@,OKC,L (-8),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,29-343,ORL,@,DAL,L (-1),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,29-345,ORL,,MEM,W (+32),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,29-347,ORL,,IND,L (-7),,,,,,,,,,,,,,,,,,,,,,
