game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-22,23-004,LAC,,LAL,W (+10),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-24,23-006,LAC,@,GSW,W (+19),0,4:06,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,-3
2,2019-10-26,23-008,LAC,@,PHO,L (-8),0,0:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
3,2019-10-28,23-010,LAC,,CHO,W (+15),0,1:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-2
4,2019-10-30,23-012,LAC,@,UTA,L (-14),0,10:00,2,3,.667,0,0,,0,0,,1,2,3,5,1,0,1,1,4,7.1,+9
,2019-10-31,23-013,LAC,,SAS,W (+6),,,,,,,,,,,,,,,,,,,,,,
5,2019-11-03,23-016,LAC,,UTA,W (+11),0,0:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
,2019-11-06,23-019,LAC,,MIL,L (-5),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,23-020,LAC,,POR,W (+6),,,,,,,,,,,,,,,,,,,,,,
6,2019-11-11,23-024,LAC,,TOR,W (+10),0,0:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
