game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,31-069,DAL,,WAS,W (+8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,31-071,DAL,@,NOP,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-27,31-073,DAL,,POR,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-29,31-075,DAL,@,DEN,W (+3),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-01,31-078,DAL,,LAL,L (-9),0,10:33,2,5,.400,0,0,,0,0,,3,4,7,1,0,0,1,3,4,3.1,+9
2,2019-11-03,31-080,DAL,@,CLE,W (+20),0,15:19,6,11,.545,0,0,,0,1,.000,2,6,8,0,0,0,1,1,12,8.1,+25
3,2019-11-06,31-083,DAL,,ORL,W (+1),0,1:51,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-1
,2019-11-08,31-085,DAL,,NYK,L (-4),,,,,,,,,,,,,,,,,,,,,,
4,2019-11-09,31-086,DAL,@,MEM,W (+16),1,16:20,3,5,.600,0,0,,3,3,1.000,2,3,5,2,1,1,2,1,9,9.7,+5
,2019-11-11,31-088,DAL,@,BOS,L (-10),,,,,,,,,,,,,,,,,,,,,,
