game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,22-154,CHI,@,CHO,L (-1),1,34:22,13,25,.520,1,7,.143,8,10,.800,5,12,17,2,1,0,1,1,35,30.0,-8
2,2019-10-25,22-156,CHI,@,MEM,W (+8),1,31:45,4,15,.267,1,10,.100,0,0,,2,9,11,3,0,1,5,1,9,1.6,+7
3,2019-10-26,22-157,CHI,,TOR,L (-24),1,30:18,3,10,.300,1,4,.250,2,4,.500,1,6,7,1,3,0,4,1,9,4.2,-21
4,2019-10-28,22-159,CHI,@,NYK,L (-7),1,29:22,5,13,.385,2,6,.333,6,6,1.000,0,6,6,2,1,0,0,3,18,13.9,-3
5,2019-10-30,22-161,CHI,@,CLE,L (-6),1,27:27,4,12,.333,2,6,.333,6,8,.750,1,7,8,3,0,1,0,2,16,13.2,-9
6,2019-11-01,22-163,CHI,,DET,W (+6),1,25:14,4,9,.444,3,7,.429,3,3,1.000,1,4,5,4,2,0,1,2,14,14.2,+13
7,2019-11-03,22-165,CHI,@,IND,L (-13),1,29:12,3,9,.333,1,4,.250,4,5,.800,0,6,6,0,0,0,2,2,11,4.5,-9
8,2019-11-05,22-167,CHI,,LAL,L (-6),1,30:19,2,8,.250,2,5,.400,1,2,.500,0,3,3,1,1,0,2,0,7,2.4,-11
9,2019-11-06,22-168,CHI,@,ATL,W (+20),1,34:25,6,11,.545,4,7,.571,1,2,.500,0,5,5,4,0,3,2,1,17,15.3,+19
10,2019-11-09,22-171,CHI,,HOU,L (-23),1,33:03,3,10,.300,0,5,.000,7,7,1.000,0,6,6,1,2,0,2,1,13,9.3,-18
