game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,24-025,CHO,,CHI,W (+1),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,24-027,CHO,,MIN,L (-22),0,17:21,1,4,.250,0,2,.000,2,2,1.000,0,4,4,1,2,0,0,1,4,5.1,-3
2,2019-10-27,24-029,CHO,@,LAL,L (-19),0,1:44,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,3,2.3,-4
3,2019-10-28,24-030,CHO,@,LAC,L (-15),0,3:44,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+7
4,2019-10-30,24-032,CHO,@,SAC,W (+7),0,4:51,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-8
5,2019-11-02,24-035,CHO,@,GSW,W (+6),0,4:28,0,0,,0,0,,1,2,.500,1,1,2,0,0,1,0,0,1,2.3,+4
6,2019-11-05,24-038,CHO,,IND,W (+2),0,33:28,0,2,.000,0,0,,0,0,,2,9,11,3,1,0,1,4,0,3.2,+27
7,2019-11-07,24-040,CHO,,BOS,L (-21),0,16:26,2,4,.500,0,1,.000,3,3,1.000,0,3,3,3,2,0,0,1,7,9.6,-2
8,2019-11-09,24-042,CHO,,NOP,L (-5),0,21:08,4,7,.571,0,2,.000,1,2,.500,0,3,3,2,2,0,1,4,9,7.0,+6
9,2019-11-10,24-043,CHO,@,PHI,L (-8),0,10:42,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,4,5,2.1,-3
