game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,24-081,MIN,@,BRK,W (+1),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,24-083,MIN,@,CHO,W (+22),0,4:51,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-2.2,-3
,2019-10-27,24-085,MIN,,MIA,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,24-088,MIN,@,PHI,L (-22),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,24-091,MIN,@,WAS,W (+22),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,24-093,MIN,,MIL,L (-28),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,24-095,MIN,@,MEM,L (-16),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,24-097,MIN,,GSW,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,24-099,MIN,,DEN,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,24-100,MIN,@,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
