game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,33-010,MIL,@,HOU,W (+6),1,30:23,6,12,.500,2,8,.250,0,0,,0,4,4,1,2,1,1,0,14,11.6,+4
2,2019-10-26,33-012,MIL,,MIA,L (-5),1,30:07,5,9,.556,4,7,.571,0,0,,0,1,1,1,1,0,0,3,14,10.5,-6
3,2019-10-28,33-014,MIL,,CLE,W (+17),1,28:27,5,9,.556,2,6,.333,2,2,1.000,0,3,3,2,1,0,0,1,14,12.6,+21
4,2019-10-30,33-016,MIL,@,BOS,L (-11),1,30:05,1,8,.125,1,7,.143,0,0,,0,3,3,3,0,0,0,0,3,0.8,-4
5,2019-11-01,33-018,MIL,@,ORL,W (+32),1,19:36,0,1,.000,0,1,.000,0,1,.000,0,0,0,0,1,0,0,2,0,-0.9,+2
6,2019-11-02,33-019,MIL,,TOR,W (+10),1,9:17,1,2,.500,0,1,.000,0,0,,0,2,2,0,1,0,2,1,2,0.2,+10
7,2019-11-04,33-021,MIL,@,MIN,W (+28),1,21:50,3,6,.500,2,4,.500,0,0,,1,1,2,0,2,0,1,1,8,6.6,+29
8,2019-11-06,33-023,MIL,@,LAC,W (+5),1,18:06,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,+8
9,2019-11-08,33-025,MIL,@,UTA,L (-3),1,22:37,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,1,3,2.6,+5
10,2019-11-10,33-027,MIL,@,OKC,W (+2),1,31:57,2,5,.400,2,5,.400,0,0,,0,2,2,2,1,0,1,0,6,5.3,+1
