game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-22,23-362,TOR,,NOP,W (+8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,24-000,TOR,@,BOS,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,24-001,TOR,@,CHI,W (+24),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-28,24-003,TOR,,ORL,W (+9),0,16:56,1,2,.500,0,1,.000,1,2,.500,1,2,3,1,2,0,0,1,3,5.2,-1
2,2019-10-30,24-005,TOR,,DET,W (+12),0,23:00,2,3,.667,1,2,.500,0,0,,1,2,3,2,1,0,3,2,5,3.6,-10
,2019-11-02,24-008,TOR,@,MIL,L (-10),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,24-012,TOR,,SAC,W (+4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,24-014,TOR,@,NOP,W (+18),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,24-016,TOR,@,LAL,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,24-017,TOR,@,LAC,L (-10),,,,,,,,,,,,,,,,,,,,,,
