game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,28-034,POR,,DEN,L (-8),1,35:50,5,18,.278,2,4,.500,0,0,,2,1,3,3,1,0,5,3,12,0.0,-10
2,2019-10-25,28-036,POR,@,SAC,W (+10),1,33:44,8,18,.444,1,4,.250,2,2,1.000,0,2,2,3,1,0,2,2,19,10.5,+5
3,2019-10-27,28-038,POR,@,DAL,W (+2),1,40:59,13,26,.500,1,4,.250,8,8,1.000,0,6,6,4,2,0,2,3,35,25.4,+12
4,2019-10-28,28-039,POR,@,SAS,L (-3),1,37:33,10,22,.455,3,6,.500,4,5,.800,0,3,3,5,0,0,1,5,27,16.6,+3
5,2019-10-30,28-041,POR,@,OKC,W (+3),1,35:49,7,22,.318,5,10,.500,3,4,.750,0,4,4,3,1,1,7,5,22,5.0,-1
6,2019-11-02,28-044,POR,,PHI,L (-1),1,38:22,6,15,.400,0,4,.000,4,4,1.000,0,3,3,1,0,0,2,4,16,5.9,+5
7,2019-11-04,28-046,POR,@,GSW,L (-9),1,33:37,6,16,.375,2,6,.333,0,0,,0,1,1,6,0,0,0,2,14,8.9,-9
8,2019-11-07,28-049,POR,@,LAC,L (-6),1,39:33,9,23,.391,1,6,.167,3,3,1.000,3,4,7,3,0,0,2,4,22,11.3,+1
9,2019-11-08,28-050,POR,,BRK,L (-4),1,39:32,4,19,.211,0,2,.000,0,0,,2,3,5,0,1,2,2,4,8,-2.6,+6
10,2019-11-10,28-052,POR,,ATL,W (+11),1,41:36,11,23,.478,1,6,.167,0,1,.000,2,6,8,4,2,2,3,3,23,16.1,+12
