game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,27-212,IND,,DET,L (-9),0,13:25,2,4,.500,0,0,,0,0,,0,3,3,3,0,1,1,2,4,3.9,-2
2,2019-10-26,27-215,IND,@,CLE,L (-11),0,20:48,1,6,.167,0,1,.000,0,0,,1,3,4,5,2,0,3,0,2,2.3,-3
3,2019-10-28,27-217,IND,@,DET,L (-2),0,13:21,3,7,.429,0,0,,0,0,,1,2,3,3,1,0,1,1,6,5.3,-1
4,2019-10-30,27-219,IND,@,BRK,W (+10),0,12:23,0,4,.000,0,0,,2,2,1.000,0,0,0,3,0,0,0,2,2,0.5,0
5,2019-11-01,27-221,IND,,CLE,W (+7),0,14:58,2,4,.500,0,0,,1,1,1.000,0,0,0,6,0,0,0,1,5,6.8,+8
6,2019-11-03,27-223,IND,,CHI,W (+13),0,17:34,1,3,.333,0,0,,0,0,,1,3,4,4,1,0,0,0,2,5.7,+4
7,2019-11-05,27-225,IND,@,CHO,L (-2),0,14:05,3,5,.600,0,0,,0,0,,0,3,3,0,0,0,3,2,6,0.8,-2
8,2019-11-06,27-226,IND,,WAS,W (+15),0,15:11,3,6,.500,0,0,,0,0,,2,1,3,5,1,0,2,4,6,5.6,0
9,2019-11-08,27-228,IND,,DET,W (+6),0,21:34,8,10,.800,0,0,,1,1,1.000,1,4,5,9,0,1,0,0,17,22.1,0
10,2019-11-10,27-230,IND,@,ORL,W (+7),0,19:43,6,9,.667,0,0,,0,0,,0,3,3,8,0,1,0,1,12,14.9,+6
