game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,21-265,CHO,,CHI,W (+1),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,21-267,CHO,,MIN,L (-22),0,2:44,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.7,0
,2019-10-27,21-269,CHO,@,LAL,L (-19),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,21-270,CHO,@,LAC,L (-15),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,21-272,CHO,@,SAC,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,21-275,CHO,@,GSW,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,21-278,CHO,,IND,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,21-280,CHO,,BOS,L (-21),,,,,,,,,,,,,,,,,,,,,,
,2019-11-09,21-282,CHO,,NOP,L (-5),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,21-283,CHO,@,PHI,L (-8),,,,,,,,,,,,,,,,,,,,,,
