game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-22,28-085,LAC,,LAL,W (+10),,,,,,,,,,,,,,,,,,,,,,
,2019-10-24,28-087,LAC,@,GSW,W (+19),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,28-089,LAC,@,PHO,L (-8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,28-091,LAC,,CHO,W (+15),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-30,28-093,LAC,@,UTA,L (-14),0,17:56,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-3.0,-19
2,2019-10-31,28-094,LAC,,SAS,W (+6),0,7:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
3,2019-11-03,28-097,LAC,,UTA,W (+11),0,11:47,0,1,.000,0,1,.000,0,0,,1,3,4,0,0,1,0,3,0,0.4,+3
4,2019-11-06,28-100,LAC,,MIL,L (-5),0,12:21,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,1,2,0,-0.8,-17
5,2019-11-07,28-101,LAC,,POR,W (+6),0,13:58,0,2,.000,0,2,.000,0,0,,0,3,3,0,0,0,1,1,0,-1.9,+5
6,2019-11-11,28-105,LAC,,TOR,W (+10),0,6:45,1,2,.500,0,1,.000,0,0,,0,0,0,1,1,0,0,0,2,2.7,-1
