game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,23-197,MIN,@,BRK,W (+1),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,23-199,MIN,@,CHO,W (+22),,,,,,,,,,,,,,,,,,,,,,
,2019-10-27,23-201,MIN,,MIA,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,23-204,MIN,@,PHI,L (-22),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,23-207,MIN,@,WAS,W (+22),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,23-209,MIN,,MIL,L (-28),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-06,23-211,MIN,@,MEM,L (-16),0,21:44,2,7,.286,1,4,.250,0,0,,0,0,0,2,0,0,0,0,5,2.3,-9
2,2019-11-08,23-213,MIN,,GSW,W (+6),0,15:03,1,4,.250,0,2,.000,1,1,1.000,0,3,3,0,1,0,2,2,3,-0.3,-9
3,2019-11-10,23-215,MIN,,DEN,L (-2),0,8:30,0,0,,0,0,,0,0,,0,1,1,2,0,0,1,1,0,0.3,-8
4,2019-11-11,23-216,MIN,@,DET,W (+6),0,11:57,1,4,.250,0,2,.000,1,1,1.000,1,2,3,4,0,0,1,1,3,3.3,+1
