game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,26-255,HOU,,MIL,L (-6),0,14:44,2,5,.400,2,5,.400,0,0,,0,0,0,1,0,0,0,0,6,4.0,-5
2,2019-10-26,26-257,HOU,,NOP,W (+3),0,4:02,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-2.4,0
3,2019-10-28,26-259,HOU,,OKC,W (+4),0,2:38,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,0
4,2019-10-30,26-261,HOU,@,WAS,W (+1),0,7:46,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,3,3.3,+13
5,2019-11-01,26-263,HOU,@,BRK,L (-7),0,21:20,2,4,.500,2,4,.500,3,3,1.000,0,1,1,1,1,0,1,2,9,7.2,+18
6,2019-11-03,26-265,HOU,@,MIA,L (-29),0,20:47,5,7,.714,3,5,.600,1,2,.500,0,0,0,1,0,0,0,3,14,10.2,+5
7,2019-11-04,26-266,HOU,@,MEM,W (+7),0,30:02,3,11,.273,3,10,.300,3,4,.750,0,0,0,3,1,0,1,2,12,6.4,+12
8,2019-11-06,26-268,HOU,,GSW,W (+17),0,19:41,1,6,.167,1,6,.167,0,0,,0,1,1,0,0,0,0,3,3,-1.7,-20
9,2019-11-09,26-271,HOU,@,CHI,W (+23),0,15:19,0,3,.000,0,2,.000,0,0,,1,1,2,1,1,0,0,1,0,0.2,+7
10,2019-11-11,26-273,HOU,@,NOP,W (+6),0,18:33,1,4,.250,1,4,.250,1,2,.500,0,1,1,1,1,1,0,1,4,3.5,+14
