game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,21-148,MEM,@,MIA,L (-19),0,2:45,0,0,,0,0,,0,2,.000,0,0,0,2,1,0,0,0,0,1.6,-2
,2019-10-25,21-150,MEM,,CHI,L (-8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-27,21-152,MEM,,BRK,W (+1),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-29,21-154,MEM,@,LAL,L (-29),0,6:24,0,2,.000,0,0,,0,0,,1,0,1,1,1,0,2,0,0,-1.0,-11
,2019-11-02,21-158,MEM,,PHO,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,21-160,MEM,,HOU,L (-7),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,21-162,MEM,,MIN,W (+16),,,,,,,,,,,,,,,,,,,,,,
3,2019-11-08,21-164,MEM,@,ORL,L (-32),0,5:16,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-11
4,2019-11-09,21-165,MEM,,DAL,L (-16),0,20:10,5,11,.455,1,4,.250,0,0,,0,3,3,2,2,0,2,1,11,7.2,-2
,2019-11-11,21-167,MEM,@,SAS,W (+4),,,,,,,,,,,,,,,,,,,,,,
