game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,22-215,SAS,,NYK,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,22-218,SAS,,WAS,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,22-220,SAS,,POR,W (+3),,,,,,,,,,,,,,,,,,,,,,
,2019-10-31,22-223,SAS,@,LAC,L (-6),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-01,22-224,SAS,@,GSW,W (+17),0,3:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8
,2019-11-03,22-226,SAS,,LAL,L (-7),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,22-228,SAS,@,ATL,L (-8),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-07,22-230,SAS,,OKC,W (+9),0,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
3,2019-11-09,22-232,SAS,,BOS,L (-20),0,9:02,3,7,.429,0,0,,1,2,.500,6,2,8,2,0,2,0,0,7,10.5,+1
,2019-11-11,22-234,SAS,,MEM,L (-4),,,,,,,,,,,,,,,,,,,,,,
