game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,28-073,MIL,@,HOU,W (+6),1,33:20,4,16,.250,3,9,.333,0,0,,1,7,8,3,1,1,2,2,11,5.2,+2
2,2019-10-26,28-075,MIL,,MIA,L (-5),1,37:23,7,16,.438,4,11,.364,7,9,.778,0,4,4,3,1,0,2,5,25,16.1,+4
3,2019-10-28,28-077,MIL,,CLE,W (+17),1,28:41,9,14,.643,3,5,.600,0,0,,2,6,8,2,1,0,4,1,21,16.0,+17
4,2019-10-30,28-079,MIL,@,BOS,L (-11),1,33:53,10,15,.667,3,6,.500,3,3,1.000,0,6,6,3,0,0,1,3,26,21.2,-8
5,2019-11-01,28-081,MIL,@,ORL,W (+32),1,20:23,7,9,.778,2,4,.500,0,0,,1,5,6,0,0,0,2,3,16,11.5,-6
6,2019-11-02,28-082,MIL,,TOR,W (+10),1,33:42,4,12,.333,0,4,.000,3,4,.750,1,3,4,7,0,0,3,3,11,6.1,+4
7,2019-11-04,28-084,MIL,@,MIN,W (+28),1,27:03,9,15,.600,4,7,.571,4,4,1.000,0,3,3,4,2,0,2,2,26,22.0,+18
8,2019-11-06,28-086,MIL,@,LAC,W (+5),1,33:03,3,13,.231,0,5,.000,7,8,.875,0,3,3,2,2,0,2,4,13,5.4,-9
9,2019-11-08,28-088,MIL,@,UTA,L (-3),1,37:31,8,22,.364,5,8,.625,5,5,1.000,2,9,11,0,0,0,3,4,26,13.3,+4
10,2019-11-10,28-090,MIL,@,OKC,W (+2),1,22:31,4,7,.571,0,2,.000,2,2,1.000,0,4,4,5,1,0,2,3,10,9.2,+10
