game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-22,26-230,TOR,,NOP,W (+8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,26-233,TOR,@,BOS,L (-6),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-26,26-234,TOR,@,CHI,W (+24),0,4:34,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,1,0,-0.2,+2
,2019-10-28,26-236,TOR,,ORL,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,26-238,TOR,,DET,W (+12),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,26-241,TOR,@,MIL,L (-10),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,26-245,TOR,,SAC,W (+4),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-08,26-247,TOR,@,NOP,W (+18),0,4:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-10
,2019-11-10,26-249,TOR,@,LAL,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,26-250,TOR,@,LAC,L (-10),,,,,,,,,,,,,,,,,,,,,,
