game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-046,UTA,,OKC,W (+5),1,36:24,14,22,.636,1,3,.333,3,4,.750,5,7,12,3,1,0,1,4,32,27.9,+9
2,2019-10-25,23-048,UTA,@,LAL,L (-9),1,33:58,7,15,.467,0,2,.000,10,10,1.000,0,5,5,3,3,1,1,2,24,21.8,-3
3,2019-10-26,23-049,UTA,,SAC,W (+32),1,25:35,6,9,.667,3,3,1.000,0,0,,0,1,1,4,1,0,1,1,15,13.8,+36
4,2019-10-28,23-051,UTA,@,PHO,W (+1),1,37:06,9,24,.375,3,8,.375,4,8,.500,1,1,2,3,2,0,3,4,25,10.7,-1
5,2019-10-30,23-053,UTA,,LAC,W (+14),1,34:59,10,17,.588,0,2,.000,4,4,1.000,0,5,5,2,2,0,2,3,24,17.8,+8
6,2019-11-01,23-055,UTA,@,SAC,L (-1),1,35:11,9,19,.474,1,3,.333,5,6,.833,0,4,4,2,3,0,0,2,24,18.7,+10
7,2019-11-03,23-057,UTA,@,LAC,L (-11),1,33:58,11,21,.524,4,6,.667,10,14,.714,0,4,4,6,2,0,2,5,36,27.5,+3
8,2019-11-06,23-060,UTA,,PHI,W (+2),1,35:26,10,23,.435,1,4,.250,3,6,.500,4,1,5,8,1,0,4,2,24,15.6,-9
9,2019-11-08,23-062,UTA,,MIL,W (+3),1,38:19,8,22,.364,2,4,.500,1,1,1.000,1,4,5,6,1,0,8,3,19,4.7,-5
10,2019-11-11,23-065,UTA,@,GSW,W (+14),1,33:01,7,17,.412,5,9,.556,4,4,1.000,0,8,8,6,0,0,2,1,23,18.1,+17
