game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,21-261,CHO,,CHI,W (+1),0,16:41,3,4,.750,1,1,1.000,0,0,,0,1,1,3,0,0,2,3,7,4.6,-3
2,2019-10-25,21-263,CHO,,MIN,L (-22),0,19:36,0,3,.000,0,2,.000,0,0,,0,1,1,3,0,0,2,2,0,-2.5,-31
3,2019-10-27,21-265,CHO,@,LAL,L (-19),0,14:08,0,4,.000,0,2,.000,0,0,,0,0,0,1,1,0,1,0,0,-2.1,-22
4,2019-10-28,21-266,CHO,@,LAC,L (-15),0,20:49,7,12,.583,1,5,.200,0,0,,0,1,1,1,1,1,4,2,15,7.3,+4
5,2019-10-30,21-268,CHO,@,SAC,W (+7),0,20:26,7,12,.583,4,7,.571,0,0,,0,4,4,2,0,0,1,2,18,13.2,+15
6,2019-11-02,21-271,CHO,@,GSW,W (+6),0,20:07,4,7,.571,1,4,.250,0,0,,1,2,3,2,0,0,1,3,9,6.2,+2
7,2019-11-05,21-274,CHO,,IND,W (+2),0,14:33,2,8,.250,0,4,.000,0,1,.000,0,2,2,3,0,1,0,0,4,2.2,-12
8,2019-11-07,21-276,CHO,,BOS,L (-21),0,21:36,1,3,.333,0,2,.000,2,2,1.000,0,0,0,2,0,0,2,2,4,0.9,-1
9,2019-11-09,21-278,CHO,,NOP,L (-5),0,19:14,4,8,.500,1,3,.333,0,0,,0,2,2,1,0,0,2,3,9,3.1,+2
10,2019-11-10,21-279,CHO,@,PHI,L (-8),0,26:40,4,8,.500,2,5,.400,5,6,.833,0,8,8,3,1,0,3,0,15,13.1,+1
