game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,30-239,NOP,@,TOR,L (-8),0,12:06,2,7,.286,1,3,.333,0,0,,1,2,3,2,0,0,0,0,5,3.6,-1
,2019-10-25,30-242,NOP,,DAL,L (-7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,30-243,NOP,@,HOU,L (-3),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,30-245,NOP,,GSW,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-10-31,30-248,NOP,,DEN,W (+15),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,30-250,NOP,@,OKC,L (-11),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-04,30-252,NOP,@,BRK,L (-10),0,14:53,2,4,.500,1,2,.500,2,3,.667,0,1,1,1,0,0,0,1,7,5.2,+8
3,2019-11-08,30-256,NOP,,TOR,L (-18),0,17:53,4,7,.571,0,2,.000,1,1,1.000,1,4,5,1,0,0,0,2,9,7.5,-10
4,2019-11-09,30-257,NOP,@,CHO,W (+5),0,14:11,2,4,.500,0,1,.000,0,0,,0,0,0,0,1,0,1,2,4,1.2,-1
5,2019-11-11,30-259,NOP,,HOU,L (-6),0,23:58,6,14,.429,1,5,.200,1,1,1.000,1,2,3,1,1,0,1,2,14,7.8,-3
