game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,30-051,NYK,@,SAS,L (-9),1,39:15,9,18,.500,3,7,.429,5,5,1.000,0,4,4,1,3,0,1,5,26,18.9,-15
2,2019-10-25,30-053,NYK,@,BRK,L (-4),1,33:18,3,9,.333,3,3,1.000,2,3,.667,1,1,2,0,0,1,1,4,11,4.6,-1
3,2019-10-26,30-054,NYK,,BOS,L (-23),1,28:41,3,9,.333,0,2,.000,6,6,1.000,1,6,7,1,1,0,4,4,12,5.5,-1
4,2019-10-28,30-056,NYK,,CHI,W (+7),1,31:13,4,13,.308,1,4,.250,1,1,1.000,0,5,5,0,1,1,1,2,10,3.9,-2
5,2019-10-30,30-058,NYK,@,ORL,L (-12),1,31:19,2,11,.182,1,5,.200,4,5,.800,1,4,5,0,1,4,3,2,9,3.6,-16
6,2019-11-01,30-060,NYK,@,BOS,L (-2),1,39:16,8,17,.471,5,8,.625,8,11,.727,2,7,9,3,2,0,1,4,29,24.1,-3
7,2019-11-03,30-062,NYK,,SAC,L (-21),1,34:54,9,14,.643,4,6,.667,6,7,.857,1,5,6,2,0,1,1,5,28,22.7,-11
8,2019-11-06,30-065,NYK,@,DET,L (-20),1,32:57,7,14,.500,3,7,.429,1,1,1.000,0,4,4,1,3,0,3,2,18,12.1,-19
9,2019-11-08,30-067,NYK,@,DAL,W (+4),1,40:53,10,22,.455,4,8,.500,5,6,.833,3,6,9,3,1,0,2,2,29,21.4,+7
10,2019-11-10,30-069,NYK,,CLE,L (-21),1,31:31,3,12,.250,0,5,.000,3,5,.600,0,6,6,1,0,0,2,4,9,-0.1,-28
