game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-22,24-171,LAC,,LAL,W (+10),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-24,24-173,LAC,@,GSW,W (+19),0,4:06,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,2,1,3,2.0,-3
2,2019-10-26,24-175,LAC,@,PHO,L (-8),0,0:14,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,0
,2019-10-28,24-177,LAC,,CHO,W (+15),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,24-179,LAC,@,UTA,L (-14),,,,,,,,,,,,,,,,,,,,,,
,2019-10-31,24-180,LAC,,SAS,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,24-183,LAC,,UTA,W (+11),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,24-186,LAC,,MIL,L (-5),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,24-187,LAC,,POR,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,24-191,LAC,,TOR,W (+10),,,,,,,,,,,,,,,,,,,,,,
