game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-232,UTA,,OKC,W (+5),0,22:59,6,11,.545,0,1,.000,0,0,,0,2,2,5,0,1,0,2,12,10.7,+4
2,2019-10-25,23-234,UTA,@,LAL,L (-9),0,15:32,5,10,.500,2,5,.400,0,0,,0,2,2,2,1,0,4,2,12,5.2,+5
3,2019-10-26,23-235,UTA,,SAC,W (+32),0,23:48,4,11,.364,0,3,.000,2,2,1.000,1,3,4,4,0,0,4,4,10,2.7,+6
4,2019-10-28,23-237,UTA,@,PHO,W (+1),0,16:53,1,3,.333,0,0,,4,4,1.000,0,3,3,3,0,0,2,1,6,4.9,+8
5,2019-10-30,23-239,UTA,,LAC,W (+14),0,16:00,4,9,.444,0,1,.000,0,0,,0,3,3,5,1,1,1,0,8,8.4,+13
6,2019-11-01,23-241,UTA,@,SAC,L (-1),0,14:46,3,5,.600,0,1,.000,0,2,.000,0,0,0,2,1,1,3,0,6,3.0,+6
,2019-11-03,23-243,UTA,@,LAC,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,23-246,UTA,,PHI,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,23-248,UTA,,MIL,W (+3),,,,,,,,,,,,,,,,,,,,,,
7,2019-11-11,23-251,UTA,@,GSW,W (+14),0,14:56,4,5,.800,1,1,1.000,2,2,1.000,0,4,4,1,0,0,2,2,11,8.2,+2
