game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-034,SAS,,NYK,W (+9),1,23:47,7,10,.700,1,1,1.000,3,3,1.000,0,8,8,6,3,0,4,1,18,19.0,+9
2,2019-10-26,23-037,SAS,,WAS,W (+2),1,23:02,8,15,.533,0,3,.000,3,3,1.000,3,7,10,4,2,1,1,1,19,20.0,+5
3,2019-10-28,23-039,SAS,,POR,W (+3),1,22:20,3,8,.375,0,1,.000,1,2,.500,0,7,7,8,1,1,4,1,7,7.2,-2
4,2019-10-31,23-042,SAS,@,LAC,L (-6),1,23:10,2,5,.400,0,1,.000,4,6,.667,0,7,7,2,3,1,2,5,8,7.7,-13
,2019-11-01,23-043,SAS,@,GSW,W (+17),,,,,,,,,,,,,,,,,,,,,,
5,2019-11-03,23-045,SAS,,LAL,L (-7),1,24:21,7,12,.583,1,1,1.000,3,5,.600,2,9,11,4,2,1,4,1,18,16.8,-3
6,2019-11-05,23-047,SAS,@,ATL,L (-8),1,19:01,1,7,.143,0,2,.000,1,2,.500,2,3,5,4,0,0,3,5,3,-1.8,-18
7,2019-11-07,23-049,SAS,,OKC,W (+9),1,25:53,7,12,.583,0,0,,3,3,1.000,2,6,8,10,1,0,2,1,17,20.2,+1
8,2019-11-09,23-051,SAS,,BOS,L (-20),1,24:09,2,8,.250,0,1,.000,0,0,,1,6,7,4,1,0,4,3,4,0.3,-8
9,2019-11-11,23-053,SAS,,MEM,L (-4),1,19:16,1,3,.333,0,0,,2,3,.667,2,4,6,4,1,1,4,0,4,5.0,-2
