game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,28-114,OKC,@,UTA,L (-5),0,15:36,0,4,.000,0,3,.000,4,4,1.000,0,4,4,2,0,2,1,2,4,3.4,+1
2,2019-10-25,28-116,OKC,,WAS,L (-12),0,11:37,1,4,.250,1,4,.250,0,0,,0,3,3,0,0,0,0,2,3,0.7,-1
3,2019-10-27,28-118,OKC,,GSW,W (+28),0,7:45,1,3,.333,0,2,.000,0,0,,0,2,2,0,0,0,0,2,2,0.1,-7
,2019-10-28,28-119,OKC,@,HOU,L (-4),,,,,,,,,,,,,,,,,,,,,,
4,2019-10-30,28-121,OKC,,POR,L (-3),0,18:48,2,9,.222,0,6,.000,0,0,,1,2,3,1,0,0,0,2,4,-0.3,-3
5,2019-11-02,28-124,OKC,,NOP,W (+11),0,19:40,0,4,.000,0,3,.000,0,0,,1,2,3,2,1,1,1,5,0,-1.4,+3
6,2019-11-05,28-127,OKC,,ORL,W (+8),0,4:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0
7,2019-11-07,28-129,OKC,@,SAS,L (-9),0,0:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
8,2019-11-09,28-131,OKC,,GSW,W (+6),0,15:36,3,5,.600,3,5,.600,0,0,,0,4,4,2,0,0,1,0,9,8.3,+22
9,2019-11-10,28-132,OKC,,MIL,L (-2),0,18:07,4,9,.444,4,9,.444,0,0,,1,2,3,3,0,0,2,2,12,7.9,-1
