game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,22-135,DET,@,IND,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-24,22-136,DET,,ATL,L (-17),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,22-138,DET,,PHI,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,22-140,DET,,IND,W (+2),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-30,22-142,DET,@,TOR,L (-12),0,8:34,3,4,.750,3,4,.750,0,0,,0,1,1,0,0,0,1,0,9,6.7,+9
,2019-11-01,22-144,DET,@,CHI,L (-6),,,,,,,,,,,,,,,,,,,,,,
2,2019-11-02,22-145,DET,,BRK,W (+4),0,14:58,1,4,.250,1,4,.250,0,0,,0,1,1,1,0,1,0,1,3,1.9,-3
3,2019-11-04,22-147,DET,@,WAS,L (-16),0,27:13,2,5,.400,2,3,.667,0,0,,0,0,0,3,0,0,1,0,6,4.4,+7
4,2019-11-06,22-149,DET,,NYK,W (+20),0,15:37,0,2,.000,0,1,.000,0,0,,0,2,2,2,0,0,3,0,0,-2.4,0
5,2019-11-08,22-151,DET,@,IND,L (-6),0,16:18,2,4,.500,1,2,.500,2,2,1.000,0,2,2,2,0,0,1,0,7,6.0,+5
6,2019-11-11,22-154,DET,,MIN,L (-6),0,4:49,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,3,0,-3.9,-5
