game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,26-028,OKC,@,UTA,L (-5),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,26-030,OKC,,WAS,L (-12),0,11:56,1,4,.250,0,2,.000,0,0,,0,1,1,0,0,0,1,1,2,-1.5,-11
2,2019-10-27,26-032,OKC,,GSW,W (+28),0,12:28,1,3,.333,1,2,.500,0,0,,0,2,2,1,0,0,2,3,3,-0.6,-6
3,2019-10-28,26-033,OKC,@,HOU,L (-4),0,5:18,1,2,.500,1,2,.500,0,0,,1,0,1,0,0,0,0,0,3,2.7,+1
,2019-10-30,26-035,OKC,,POR,L (-3),,,,,,,,,,,,,,,,,,,,,,
4,2019-11-02,26-038,OKC,,NOP,W (+11),0,11:43,1,2,.500,1,2,.500,1,2,.500,0,3,3,0,0,0,2,0,4,1.5,-4
,2019-11-05,26-041,OKC,,ORL,W (+8),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,26-043,OKC,@,SAS,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-09,26-045,OKC,,GSW,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,26-046,OKC,,MIL,L (-2),,,,,,,,,,,,,,,,,,,,,,
