game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,28-101,MIN,@,BRK,W (+1),0,20:59,1,7,.143,0,6,.000,3,5,.600,0,1,1,7,0,0,1,1,5,3.5,+17
2,2019-10-25,28-103,MIN,@,CHO,W (+22),0,20:50,1,6,.167,1,5,.200,2,2,1.000,1,5,6,9,1,2,2,1,5,9.7,+18
3,2019-10-27,28-105,MIN,,MIA,W (+7),0,19:35,2,5,.400,2,4,.500,6,6,1.000,0,3,3,2,2,0,4,0,12,9.6,+3
4,2019-10-30,28-108,MIN,@,PHI,L (-22),0,24:48,4,9,.444,2,6,.333,3,3,1.000,0,0,0,1,2,0,3,1,13,7.6,-14
5,2019-11-02,28-111,MIN,@,WAS,W (+22),0,22:11,1,4,.250,0,2,.000,0,0,,0,2,2,4,0,1,0,0,2,3.7,-7
6,2019-11-04,28-113,MIN,,MIL,L (-28),0,24:36,4,12,.333,2,8,.250,0,0,,0,3,3,4,4,0,2,1,10,8.5,+5
,2019-11-06,28-115,MIN,@,MEM,L (-16),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,28-117,MIN,,GSW,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,28-119,MIN,,DEN,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,28-120,MIN,@,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
