game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,26-128,UTA,,OKC,W (+5),0,2:40,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2
2,2019-10-25,26-130,UTA,@,LAL,L (-9),0,23:02,2,5,.400,2,5,.400,4,4,1.000,0,2,2,1,0,0,2,4,10,5.0,-14
3,2019-10-26,26-131,UTA,,SAC,W (+32),0,15:30,5,7,.714,2,4,.500,0,0,,0,3,3,1,0,0,1,0,12,9.7,+1
4,2019-10-28,26-133,UTA,@,PHO,W (+1),0,9:08,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,1,2,2,-1.2,-3
5,2019-10-30,26-135,UTA,,LAC,W (+14),0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
,2019-11-01,26-137,UTA,@,SAC,L (-1),,,,,,,,,,,,,,,,,,,,,,
6,2019-11-03,26-139,UTA,@,LAC,L (-11),0,6:15,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.1,-4
7,2019-11-06,26-142,UTA,,PHI,W (+2),0,10:51,0,1,.000,0,0,,1,2,.500,0,2,2,0,0,0,0,4,1,-1.1,-17
8,2019-11-08,26-144,UTA,,MIL,W (+3),0,11:41,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,2,2,-0.5,0
9,2019-11-11,26-147,UTA,@,GSW,W (+14),0,1:51,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-3
