game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,25-196,OKC,@,UTA,L (-5),0,4:42,1,1,1.000,0,0,,0,0,,0,2,2,0,0,1,0,0,2,3.0,-5
2,2019-10-25,25-198,OKC,,WAS,L (-12),0,7:13,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-0.1,-9
3,2019-10-27,25-200,OKC,,GSW,W (+28),0,14:51,3,4,.750,0,0,,0,0,,2,2,4,2,1,2,1,2,6,8.4,+9
4,2019-10-28,25-201,OKC,@,HOU,L (-4),0,21:10,5,6,.833,0,0,,5,6,.833,1,2,3,0,2,0,0,3,15,14.5,+1
5,2019-10-30,25-203,OKC,,POR,L (-3),1,28:27,6,7,.857,0,0,,3,4,.750,3,11,14,2,1,1,3,4,15,16.0,+1
6,2019-11-02,25-206,OKC,,NOP,W (+11),1,23:40,4,8,.500,0,0,,0,0,,1,2,3,2,1,6,2,3,8,8.7,-3
7,2019-11-05,25-209,OKC,,ORL,W (+8),0,16:05,1,2,.500,0,0,,3,4,.750,1,4,5,2,0,1,2,3,5,4.4,+2
8,2019-11-07,25-211,OKC,@,SAS,L (-9),0,20:00,3,3,1.000,0,0,,1,1,1.000,1,5,6,2,2,1,1,3,7,10.2,-4
9,2019-11-09,25-213,OKC,,GSW,W (+6),0,7:16,1,3,.333,0,0,,0,0,,0,1,1,0,0,2,1,3,2,-0.2,-15
10,2019-11-10,25-214,OKC,,MIL,L (-2),1,29:53,6,9,.667,0,0,,2,2,1.000,1,2,3,6,0,2,2,4,14,13.4,-1
