game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,21-087,NYK,@,SAS,L (-9),0,2:54,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,2,1,0,-2.1,-6
,2019-10-25,21-089,NYK,@,BRK,L (-4),,,,,,,,,,,,,,,,,,,,,,
2,2019-10-26,21-090,NYK,,BOS,L (-23),0,0:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
3,2019-10-28,21-092,NYK,,CHI,W (+7),0,22:16,0,6,.000,0,4,.000,0,0,,0,2,2,2,0,0,3,2,0,-6.0,-3
4,2019-10-30,21-094,NYK,@,ORL,L (-12),0,29:17,3,8,.375,1,3,.333,0,0,,1,3,4,4,0,0,0,2,7,6.2,+2
5,2019-11-01,21-096,NYK,@,BOS,L (-2),1,37:46,4,9,.444,2,4,.500,0,0,,1,2,3,2,3,1,1,4,10,9.1,-5
6,2019-11-03,21-098,NYK,,SAC,L (-21),1,14:56,1,3,.333,0,2,.000,0,0,,0,2,2,3,1,0,0,3,2,2.8,-11
7,2019-11-06,21-101,NYK,@,DET,L (-20),1,38:39,5,7,.714,1,1,1.000,0,2,.000,1,0,1,4,1,3,2,2,11,11.1,-13
8,2019-11-08,21-103,NYK,@,DAL,W (+4),1,37:33,5,12,.417,4,5,.800,0,0,,2,4,6,4,4,3,1,3,14,16.9,+5
9,2019-11-10,21-105,NYK,,CLE,L (-21),1,34:44,1,4,.250,0,2,.000,2,2,1.000,0,6,6,6,2,2,2,4,4,7.4,-12
