game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,23-311,NOP,@,TOR,L (-8),0,12:29,3,3,1.000,0,0,,2,3,.667,2,0,2,0,0,1,1,3,8,6.6,-7
2,2019-10-25,23-314,NOP,,DAL,L (-7),0,7:08,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,0,1,4,3.6,-2
3,2019-10-26,23-315,NOP,@,HOU,L (-3),0,11:35,3,4,.750,0,0,,0,0,,1,4,5,2,0,1,0,6,6,6.0,+2
4,2019-10-28,23-317,NOP,,GSW,L (-11),1,12:18,3,4,.750,0,0,,0,0,,1,4,5,1,1,1,4,3,6,3.5,-5
5,2019-10-31,23-320,NOP,,DEN,W (+15),1,33:50,8,13,.615,0,0,,10,13,.769,0,5,5,1,2,1,3,3,26,19.6,+19
6,2019-11-02,23-322,NOP,@,OKC,L (-11),1,29:12,7,14,.500,0,0,,1,3,.333,6,6,12,3,0,2,4,5,15,10.7,+2
7,2019-11-04,23-324,NOP,@,BRK,L (-10),1,21:27,1,3,.333,0,0,,2,3,.667,2,2,4,1,0,1,1,3,4,3.1,-14
8,2019-11-08,23-328,NOP,,TOR,L (-18),1,14:40,3,3,1.000,0,0,,0,0,,0,3,3,2,0,3,2,1,6,7.1,-13
,2019-11-09,23-329,NOP,@,CHO,W (+5),,,,,,,,,,,,,,,,,,,,,,
9,2019-11-11,23-331,NOP,,HOU,L (-6),0,16:16,5,7,.714,0,0,,4,6,.667,3,2,5,1,1,0,0,0,14,14.7,-8
