game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,21-052,MIN,@,BRK,W (+1),0,14:26,2,5,.400,1,4,.250,6,8,.750,1,2,3,3,1,0,0,0,11,11.9,+22
2,2019-10-25,21-054,MIN,@,CHO,W (+22),0,26:29,5,6,.833,1,1,1.000,3,3,1.000,1,3,4,3,1,0,3,3,14,12.3,+28
3,2019-10-27,21-056,MIN,,MIA,W (+7),0,19:44,4,8,.500,0,2,.000,0,0,,4,2,6,2,2,0,1,2,8,9.0,-5
4,2019-10-30,21-059,MIN,@,PHI,L (-22),0,21:26,0,2,.000,0,0,,3,6,.500,0,6,6,1,3,1,3,3,3,2.4,-10
5,2019-11-02,21-062,MIN,@,WAS,W (+22),0,29:08,4,6,.667,0,2,.000,1,2,.500,0,4,4,4,2,0,2,3,9,8.8,+4
6,2019-11-04,21-064,MIN,,MIL,L (-28),0,22:05,1,6,.167,0,2,.000,1,3,.333,1,6,7,0,1,0,2,0,3,-0.1,0
7,2019-11-06,21-066,MIN,@,MEM,L (-16),1,20:23,3,4,.750,1,1,1.000,0,0,,0,4,4,2,0,0,1,4,7,5.4,-21
8,2019-11-08,21-068,MIN,,GSW,W (+6),0,31:43,5,10,.500,1,3,.333,3,4,.750,5,2,7,1,2,1,2,5,14,12.1,+5
9,2019-11-10,21-070,MIN,,DEN,L (-2),0,36:05,4,12,.333,2,6,.333,7,11,.636,3,5,8,4,1,1,0,5,17,14.7,0
10,2019-11-11,21-071,MIN,@,DET,W (+6),1,25:14,0,4,.000,0,2,.000,2,2,1.000,2,2,4,0,1,0,3,1,2,-1.2,+2
