game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,26-140,UTA,,OKC,W (+5),1,30:07,6,6,1.000,2,2,1.000,0,0,,0,5,5,0,1,0,1,4,14,12.1,-2
2,2019-10-25,26-142,UTA,@,LAL,L (-9),0,26:41,3,8,.375,2,5,.400,0,0,,0,3,3,0,0,0,2,4,8,0.9,-17
3,2019-10-26,26-143,UTA,,SAC,W (+32),1,22:57,3,3,1.000,1,1,1.000,0,0,,0,4,4,3,1,0,2,3,7,7.2,+17
4,2019-10-28,26-145,UTA,@,PHO,W (+1),1,31:43,3,7,.429,1,4,.250,0,0,,0,4,4,4,0,2,0,1,7,8.3,+10
5,2019-10-30,26-147,UTA,,LAC,W (+14),1,23:43,0,0,,0,0,,0,0,,0,4,4,1,1,0,1,1,0,1.5,+5
6,2019-11-01,26-149,UTA,@,SAC,L (-1),1,23:06,3,5,.600,0,1,.000,0,0,,0,3,3,4,1,0,1,4,6,5.8,-25
7,2019-11-03,26-151,UTA,@,LAC,L (-11),1,34:21,0,4,.000,0,2,.000,0,0,,1,3,4,2,0,1,1,5,0,-2.1,-11
8,2019-11-06,26-154,UTA,,PHI,W (+2),1,28:13,1,2,.500,1,1,1.000,2,2,1.000,0,4,4,1,1,1,1,1,5,6.2,+15
9,2019-11-08,26-156,UTA,,MIL,W (+3),1,36:58,4,6,.667,3,4,.750,0,0,,0,11,11,2,1,0,0,4,11,12.5,-4
10,2019-11-11,26-159,UTA,@,GSW,W (+14),1,27:37,0,1,.000,0,0,,2,2,1.000,0,4,4,4,0,0,1,2,2,3.5,+13
