game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,22-080,UTA,,OKC,W (+5),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,22-082,UTA,@,LAL,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,22-083,UTA,,SAC,W (+32),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,22-085,UTA,@,PHO,W (+1),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,22-087,UTA,,LAC,W (+14),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,22-089,UTA,@,SAC,L (-1),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,22-091,UTA,@,LAC,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,22-094,UTA,,PHI,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,22-096,UTA,,MIL,W (+3),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-11,22-099,UTA,@,GSW,W (+14),0,1:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
