game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,22-354,GSW,,LAC,L (-19),0,31:28,6,13,.462,0,1,.000,2,3,.667,2,2,4,3,2,0,1,1,14,11.6,+5
2,2019-10-27,22-357,GSW,@,OKC,L (-28),0,24:04,4,6,.667,0,1,.000,2,2,1.000,1,2,3,1,0,0,0,1,10,9.0,-6
3,2019-10-28,22-358,GSW,@,NOP,W (+11),0,19:17,4,5,.800,0,0,,0,0,,1,1,2,3,0,0,3,0,8,6.2,-22
4,2019-10-30,22-360,GSW,,PHO,L (-11),1,37:33,7,9,.778,0,0,,6,6,1.000,1,2,3,0,1,2,0,2,20,19.4,+19
5,2019-11-01,22-362,GSW,,SAS,L (-17),0,20:04,2,3,.667,0,1,.000,2,2,1.000,1,1,2,1,1,0,2,3,6,4.2,-20
6,2019-11-02,22-363,GSW,,CHO,L (-6),1,34:59,10,18,.556,0,5,.000,5,8,.625,0,4,4,2,0,1,1,3,25,16.3,-14
7,2019-11-04,23-000,GSW,,POR,W (+9),1,39:32,11,19,.579,4,6,.667,8,8,1.000,3,10,13,0,0,1,1,2,34,29.1,+11
8,2019-11-06,23-002,GSW,@,HOU,L (-17),1,33:43,6,15,.400,2,4,.500,5,5,1.000,0,6,6,3,0,0,1,1,19,13.4,-11
9,2019-11-08,23-004,GSW,@,MIN,L (-6),1,33:56,3,10,.300,0,1,.000,6,6,1.000,0,1,1,1,0,0,3,6,12,1.8,-9
,2019-11-09,23-005,GSW,@,OKC,L (-6),,,,,,,,,,,,,,,,,,,,,,
10,2019-11-11,23-007,GSW,,UTA,L (-14),0,29:49,4,10,.400,0,2,.000,0,0,,2,4,6,0,2,0,0,1,8,6.8,+3
