game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,22-131,OKC,@,UTA,L (-5),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,22-133,OKC,,WAS,L (-12),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-27,22-135,OKC,,GSW,W (+28),0,6:21,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,3,0,-3.0,-10
,2019-10-28,22-136,OKC,@,HOU,L (-4),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,22-138,OKC,,POR,L (-3),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,22-141,OKC,,NOP,W (+11),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,22-144,OKC,,ORL,W (+8),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,22-146,OKC,@,SAS,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-09,22-148,OKC,,GSW,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,22-149,OKC,,MIL,L (-2),,,,,,,,,,,,,,,,,,,,,,
