game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-008,SAS,,NYK,W (+9),0,16:07,3,4,.750,0,0,,0,0,,2,2,4,1,0,1,0,2,6,7.0,+9
2,2019-10-26,24-011,SAS,,WAS,W (+2),0,14:49,2,7,.286,0,0,,2,3,.667,4,2,6,4,0,3,1,0,6,8.8,-3
3,2019-10-28,24-013,SAS,,POR,W (+3),0,12:06,1,1,1.000,0,0,,0,0,,1,2,3,1,0,1,1,2,2,2.6,+6
4,2019-10-31,24-016,SAS,@,LAC,L (-6),0,12:22,2,4,.500,0,0,,1,2,.500,2,2,4,1,0,0,1,2,5,3.5,+4
5,2019-11-01,24-017,SAS,@,GSW,W (+17),0,18:07,3,5,.600,0,0,,3,4,.750,4,6,10,1,0,0,1,2,9,9.8,+22
6,2019-11-03,24-019,SAS,,LAL,L (-7),0,19:09,0,0,,0,0,,1,2,.500,0,2,2,0,1,1,0,2,1,2.1,+5
7,2019-11-05,24-021,SAS,@,ATL,L (-8),0,14:09,1,1,1.000,0,0,,0,0,,1,1,2,0,2,0,2,4,2,1.1,-6
8,2019-11-07,24-023,SAS,,OKC,W (+9),0,12:53,0,1,.000,0,0,,0,0,,2,4,6,0,0,1,0,1,0,2.2,-7
9,2019-11-09,24-025,SAS,,BOS,L (-20),0,12:36,1,4,.250,0,0,,1,2,.500,3,3,6,3,0,0,1,3,3,3.1,-9
10,2019-11-11,24-027,SAS,,MEM,L (-4),0,15:10,2,4,.500,0,0,,0,0,,1,3,4,3,0,0,1,1,4,4.3,-1
