game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,20-127,GSW,,LAC,L (-19),0,20:48,2,13,.154,1,7,.143,0,0,,0,2,2,2,1,0,1,0,5,-1.3,+10
2,2019-10-27,20-130,GSW,@,OKC,L (-28),0,23:27,1,9,.111,1,5,.200,3,3,1.000,0,2,2,1,1,0,2,1,6,0.0,+4
3,2019-10-28,20-131,GSW,@,NOP,W (+11),1,26:26,4,10,.400,3,5,.600,2,2,1.000,0,1,1,0,2,0,1,5,13,6.9,-21
4,2019-10-30,20-133,GSW,,PHO,L (-11),0,21:05,2,8,.250,2,5,.400,3,3,1.000,0,4,4,2,0,0,1,2,9,5.0,+9
5,2019-11-01,20-135,GSW,,SAS,L (-17),1,28:37,7,13,.538,4,7,.571,2,2,1.000,0,0,0,1,0,0,1,3,20,12.2,-8
6,2019-11-02,20-136,GSW,,CHO,L (-6),1,30:45,2,9,.222,0,2,.000,1,1,1.000,0,1,1,3,0,0,3,5,5,-3.1,-6
7,2019-11-04,20-138,GSW,,POR,W (+9),1,30:32,3,16,.188,2,9,.222,8,8,1.000,0,3,3,5,0,1,1,2,16,9.3,+7
8,2019-11-06,20-140,GSW,@,HOU,L (-17),1,26:35,2,11,.182,2,8,.250,2,2,1.000,1,1,2,2,1,1,2,1,8,2.8,-14
9,2019-11-08,20-142,GSW,@,MIN,L (-6),1,25:08,3,10,.300,1,6,.167,2,2,1.000,0,1,1,0,2,1,2,1,9,3.8,-4
10,2019-11-09,20-143,GSW,@,OKC,L (-6),1,34:57,2,6,.333,0,2,.000,0,0,,0,3,3,6,2,0,2,4,4,4.1,-12
11,2019-11-11,20-145,GSW,,UTA,L (-14),1,32:16,5,11,.455,1,3,.333,0,1,.000,1,5,6,2,0,0,2,4,11,4.9,-10
