game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,26-142,CHI,@,CHO,L (-1),1,27:43,3,10,.300,1,5,.200,2,2,1.000,0,2,2,1,2,1,0,2,9,6.4,+14
2,2019-10-25,26-144,CHI,@,MEM,W (+8),1,21:09,1,6,.167,1,4,.250,1,1,1.000,1,2,3,0,1,0,1,2,4,0.7,-12
3,2019-10-26,26-145,CHI,,TOR,L (-24),1,20:20,2,7,.286,1,4,.250,4,5,.800,1,3,4,1,1,0,1,3,9,5.6,-5
4,2019-10-28,26-147,CHI,@,NYK,L (-7),1,31:51,3,11,.273,1,6,.167,0,0,,2,1,3,0,0,0,0,2,7,1.4,-5
5,2019-10-30,26-149,CHI,@,CLE,L (-6),1,27:29,5,10,.500,1,2,.500,4,5,.800,2,3,5,3,0,0,0,2,15,13.2,+5
6,2019-11-01,26-151,CHI,,DET,W (+6),1,31:07,8,12,.667,3,4,.750,3,5,.600,2,4,6,4,1,0,2,2,22,19.6,+6
7,2019-11-03,26-153,CHI,@,IND,L (-13),1,27:03,1,10,.100,1,4,.250,1,2,.500,0,3,3,3,1,1,2,3,4,-1.5,-9
8,2019-11-05,26-155,CHI,,LAL,L (-6),1,27:15,7,12,.583,4,7,.571,0,0,,0,1,1,0,1,0,1,3,18,11.5,+1
9,2019-11-06,26-156,CHI,@,ATL,W (+20),1,11:49,5,6,.833,3,4,.750,0,0,,0,4,4,2,2,1,0,1,13,15.7,+12
,2019-11-09,26-159,CHI,,HOU,L (-23),,,,,,,,,,,,,,,,,,,,,,
