game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-255,NYK,@,SAS,L (-9),1,33:05,4,10,.400,0,3,.000,0,1,.000,2,5,7,5,2,0,1,3,8,8.4,-5
2,2019-10-25,24-257,NYK,@,BRK,L (-4),0,9:57,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,2,2,2,-0.2,0
3,2019-10-26,24-258,NYK,,BOS,L (-23),0,27:17,3,10,.300,0,4,.000,2,2,1.000,2,9,11,1,0,1,2,5,8,3.7,-14
4,2019-10-28,24-260,NYK,,CHI,W (+7),0,29:40,10,14,.714,4,4,1.000,4,5,.800,4,7,11,2,0,2,0,1,28,29.1,+31
5,2019-10-30,24-262,NYK,@,ORL,L (-12),0,29:03,5,11,.455,2,7,.286,0,0,,2,8,10,0,0,0,0,1,12,9.7,-1
6,2019-11-01,24-264,NYK,@,BOS,L (-2),0,20:50,6,16,.375,1,2,.500,0,0,,4,3,7,1,0,0,1,4,13,6.0,-3
7,2019-11-03,24-266,NYK,,SAC,L (-21),1,20:00,1,6,.167,0,1,.000,0,0,,2,4,6,1,1,0,2,2,2,-0.3,-23
8,2019-11-06,24-269,NYK,@,DET,L (-20),0,20:30,1,6,.167,0,1,.000,1,1,1.000,1,4,5,1,0,0,0,2,3,1.0,-8
9,2019-11-08,24-271,NYK,@,DAL,W (+4),0,24:27,5,15,.333,1,3,.333,3,5,.600,4,8,12,1,1,0,1,0,14,10.6,+3
10,2019-11-10,24-273,NYK,,CLE,L (-21),0,28:33,2,10,.200,0,2,.000,0,0,,7,4,11,3,3,1,1,1,4,8.3,-3
