game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,28-095,DAL,,WAS,W (+8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,28-097,DAL,@,NOP,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-27,28-099,DAL,,POR,L (-2),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-29,28-101,DAL,@,DEN,W (+3),1,13:34,1,2,.500,0,0,,2,4,.500,2,2,4,0,0,0,1,3,4,2.0,-5
2,2019-11-01,28-104,DAL,,LAL,L (-9),1,25:04,5,8,.625,1,2,.500,3,4,.750,2,3,5,0,0,0,3,2,14,8.5,-1
3,2019-11-03,28-106,DAL,@,CLE,W (+20),1,27:16,4,7,.571,0,1,.000,1,2,.500,1,3,4,0,1,0,2,1,9,5.5,+1
4,2019-11-06,28-109,DAL,,ORL,W (+1),1,33:56,5,8,.625,0,0,,2,2,1.000,4,4,8,2,1,0,1,4,12,12.2,-1
5,2019-11-08,28-111,DAL,,NYK,L (-4),1,27:15,0,1,.000,0,0,,1,2,.500,2,3,5,0,1,0,0,3,1,2.0,+2
6,2019-11-09,28-112,DAL,@,MEM,W (+16),0,29:16,5,8,.625,0,1,.000,1,3,.333,2,5,7,3,2,2,2,3,11,11.8,+18
7,2019-11-11,28-114,DAL,@,BOS,L (-10),0,29:33,6,7,.857,0,0,,0,2,.000,5,0,5,3,0,1,1,5,12,12.0,+20
