game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,26-150,TOR,,NOP,W (+8),0,28:38,2,7,.286,1,5,.200,0,0,,1,7,8,2,0,0,2,2,5,2.3,+2
2,2019-10-25,26-153,TOR,@,BOS,L (-6),0,21:46,2,3,.667,1,2,.500,2,2,1.000,0,4,4,1,0,0,2,1,7,5.2,-2
3,2019-10-26,26-154,TOR,@,CHI,W (+24),0,27:34,3,9,.333,1,5,.200,0,0,,1,5,6,3,3,0,4,1,7,4.8,+7
4,2019-10-28,26-156,TOR,,ORL,W (+9),0,19:40,1,7,.143,0,4,.000,2,2,1.000,0,1,1,1,0,0,2,3,4,-2.7,0
5,2019-10-30,26-158,TOR,,DET,W (+12),0,28:39,7,10,.700,3,5,.600,2,3,.667,0,1,1,0,2,0,0,2,19,15.9,-4
6,2019-11-02,26-161,TOR,@,MIL,L (-10),0,19:18,1,5,.200,1,3,.333,1,2,.500,1,4,5,2,1,0,1,0,4,3.8,-9
7,2019-11-06,26-165,TOR,,SAC,W (+4),0,18:53,2,6,.333,0,3,.000,2,2,1.000,0,2,2,1,1,0,0,1,6,4.5,+3
8,2019-11-08,26-167,TOR,@,NOP,W (+18),0,29:17,6,10,.600,2,4,.500,4,5,.800,0,4,4,0,0,0,1,2,18,12.4,+28
9,2019-11-10,26-169,TOR,@,LAL,W (+9),1,25:42,5,9,.556,1,3,.333,3,3,1.000,1,4,5,2,0,2,1,1,14,13.0,+2
10,2019-11-11,26-170,TOR,@,LAC,L (-10),1,37:13,5,12,.417,1,5,.200,4,5,.800,0,4,4,2,0,1,2,3,15,8.3,-18
