game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,24-328,NYK,@,SAS,L (-9),1,35:24,10,18,.556,1,4,.250,4,6,.667,1,10,11,6,3,0,1,4,25,23.9,+6
2,2019-10-25,24-330,NYK,@,BRK,L (-4),1,38:34,5,15,.333,0,2,.000,4,7,.571,3,8,11,4,0,0,6,5,14,3.6,-2
3,2019-10-26,24-331,NYK,,BOS,L (-23),1,29:52,4,12,.333,0,2,.000,2,4,.500,6,4,10,3,1,0,4,1,10,6.5,-12
4,2019-10-28,24-333,NYK,,CHI,W (+7),1,32:44,5,13,.385,0,2,.000,3,5,.600,7,7,14,5,0,0,8,4,13,6.0,+9
5,2019-10-30,24-335,NYK,@,ORL,L (-12),1,36:40,7,13,.538,0,2,.000,2,3,.667,3,7,10,7,0,1,3,3,16,14.9,-16
6,2019-11-01,24-337,NYK,@,BOS,L (-2),1,33:38,3,7,.429,0,3,.000,2,3,.667,2,8,10,5,1,0,6,1,8,5.8,-5
7,2019-11-03,24-339,NYK,,SAC,L (-21),1,26:56,4,13,.308,0,3,.000,0,0,,1,6,7,2,0,0,1,2,8,2.6,-27
8,2019-11-06,24-342,NYK,@,DET,L (-20),1,32:20,8,15,.533,3,5,.600,1,2,.500,1,2,3,2,1,1,4,5,20,10.7,-22
9,2019-11-08,24-344,NYK,@,DAL,W (+4),1,36:11,7,16,.438,2,8,.250,5,8,.625,1,7,8,4,1,0,4,2,21,13.2,+8
10,2019-11-10,24-346,NYK,,CLE,L (-21),1,31:29,6,14,.429,1,2,.500,7,10,.700,4,12,16,1,0,0,4,4,20,12.9,-22
