game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,35-120,NOP,@,TOR,L (-8),1,27:03,6,9,.667,4,6,.667,0,0,,0,2,2,1,0,0,3,3,16,9.2,-14
2,2019-10-25,35-123,NOP,,DAL,L (-7),1,21:35,1,3,.333,1,2,.500,0,0,,0,0,0,2,0,0,2,0,3,0.7,-2
3,2019-10-26,35-124,NOP,@,HOU,L (-3),1,28:09,4,16,.250,4,11,.364,2,2,1.000,1,1,2,1,0,0,5,5,14,-0.9,-2
4,2019-10-28,35-126,NOP,,GSW,L (-11),1,25:06,1,10,.100,1,9,.111,2,3,.667,1,0,1,3,0,1,2,0,5,-0.5,-19
5,2019-10-31,35-129,NOP,,DEN,W (+15),0,17:15,2,2,1.000,1,1,1.000,2,2,1.000,0,2,2,2,0,1,0,0,7,9.1,-4
6,2019-11-02,35-131,NOP,@,OKC,L (-11),0,26:52,6,12,.500,4,9,.444,1,2,.500,0,3,3,1,1,0,0,0,17,13.2,-17
7,2019-11-04,35-133,NOP,@,BRK,L (-10),0,21:04,4,9,.444,3,4,.750,1,2,.500,0,1,1,0,1,1,0,1,12,8.5,-1
8,2019-11-08,35-137,NOP,,TOR,L (-18),0,16:50,0,1,.000,0,0,,1,2,.500,0,3,3,1,0,0,1,0,1,0.5,-13
9,2019-11-09,35-138,NOP,@,CHO,W (+5),1,28:34,6,13,.462,5,9,.556,5,5,1.000,0,5,5,0,2,2,4,3,22,15.0,+15
10,2019-11-11,35-140,NOP,,HOU,L (-6),1,36:57,7,16,.438,7,15,.467,3,3,1.000,0,0,0,3,0,0,1,4,24,15.1,+14
