game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,27-084,HOU,,MIL,L (-6),0,12:07,0,3,.000,0,3,.000,3,4,.750,0,2,2,0,0,0,0,2,3,0.3,-3
2,2019-10-26,27-086,HOU,,NOP,W (+3),0,16:24,3,6,.500,2,4,.500,0,1,.000,1,1,2,0,0,0,0,3,8,4.4,0
3,2019-10-28,27-088,HOU,,OKC,W (+4),0,14:56,2,6,.333,0,3,.000,0,0,,0,1,1,0,0,0,0,3,4,-0.3,-3
4,2019-10-30,27-090,HOU,@,WAS,W (+1),0,19:50,4,6,.667,3,5,.600,0,0,,0,1,1,3,0,0,0,4,11,9.2,-13
5,2019-11-01,27-092,HOU,@,BRK,L (-7),0,16:10,3,6,.500,1,3,.333,0,1,.000,0,1,1,2,0,0,0,1,7,4.9,+14
6,2019-11-03,27-094,HOU,@,MIA,L (-29),0,24:25,1,3,.333,1,3,.333,0,0,,1,3,4,3,0,0,2,2,3,2.2,-2
7,2019-11-04,27-095,HOU,@,MEM,W (+7),0,23:53,3,9,.333,1,4,.250,0,0,,0,3,3,1,0,0,1,1,7,2.1,+3
8,2019-11-06,27-097,HOU,,GSW,W (+17),0,27:29,4,7,.571,4,4,1.000,0,0,,1,2,3,3,0,0,0,1,12,11.7,-23
9,2019-11-09,27-100,HOU,@,CHI,W (+23),0,26:29,2,4,.500,2,3,.667,0,2,.000,1,3,4,2,0,0,0,1,6,5.8,+13
10,2019-11-11,27-102,HOU,@,NOP,W (+6),0,20:39,3,6,.500,1,3,.333,1,1,1.000,1,1,2,0,0,0,1,1,8,4.6,+21
