game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-22,22-242,LAC,,LAL,W (+10),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-24,22-244,LAC,@,GSW,W (+19),0,4:06,1,3,.333,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,3,1.9,-3
2,2019-10-26,22-246,LAC,@,PHO,L (-8),0,0:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
3,2019-10-28,22-248,LAC,,CHO,W (+15),0,1:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
4,2019-10-30,22-250,LAC,@,UTA,L (-14),0,18:42,4,7,.571,1,3,.333,0,0,,0,2,2,3,0,0,5,2,9,2.6,-2
,2019-10-31,22-251,LAC,,SAS,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,22-254,LAC,,UTA,W (+11),,,,,,,,,,,,,,,,,,,,,,
5,2019-11-06,22-257,LAC,,MIL,L (-5),0,14:29,1,6,.167,0,1,.000,0,0,,0,1,1,1,1,0,2,0,2,-1.8,+2
,2019-11-07,22-258,LAC,,POR,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,22-262,LAC,,TOR,W (+10),,,,,,,,,,,,,,,,,,,,,,
