game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,21-205,NYK,@,SAS,L (-9),,,,,,,,,,,,,,,,,,,,,,
1,2019-10-25,21-207,NYK,@,BRK,L (-4),1,16:35,3,4,.750,0,0,,0,0,,2,5,7,1,4,1,3,5,6,7.7,-4
2,2019-10-26,21-208,NYK,,BOS,L (-23),1,19:51,7,7,1.000,0,0,,3,3,1.000,4,2,6,0,0,3,1,4,17,17.8,-9
3,2019-10-28,21-210,NYK,,CHI,W (+7),1,18:20,4,9,.444,0,0,,2,4,.500,6,3,9,0,0,2,0,4,10,9.4,-24
4,2019-10-30,21-212,NYK,@,ORL,L (-12),1,19:28,4,6,.667,0,0,,4,4,1.000,2,3,5,2,0,3,0,1,12,14.8,-9
5,2019-11-01,21-214,NYK,@,BOS,L (-2),1,16:16,3,5,.600,0,0,,0,1,.000,2,4,6,0,0,2,1,3,6,5.1,-4
6,2019-11-03,21-216,NYK,,SAC,L (-21),0,24:34,4,4,1.000,0,0,,2,3,.667,3,2,5,0,1,2,0,4,10,11.9,+5
7,2019-11-06,21-219,NYK,@,DET,L (-20),1,7:55,3,4,.750,0,0,,0,0,,2,2,4,1,0,0,0,1,6,6.7,0
,2019-11-08,21-221,NYK,@,DAL,W (+4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,21-223,NYK,,CLE,L (-21),,,,,,,,,,,,,,,,,,,,,,
