game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,31-019,DET,@,IND,W (+9),0,26:35,6,11,.545,0,0,,6,7,.857,1,2,3,9,0,0,4,1,18,15.5,+5
2,2019-10-24,31-020,DET,,ATL,L (-17),0,25:16,11,16,.688,0,1,.000,5,5,1.000,0,1,1,3,0,0,3,1,27,19.2,-8
3,2019-10-26,31-022,DET,,PHI,L (-6),0,26:44,14,21,.667,1,1,1.000,2,2,1.000,0,3,3,3,3,2,6,2,31,22.5,-3
4,2019-10-28,31-024,DET,,IND,W (+2),0,26:04,4,16,.250,0,0,,2,2,1.000,1,0,1,6,0,0,4,2,10,0.5,-1
5,2019-10-30,31-026,DET,@,TOR,L (-12),0,20:32,7,12,.583,0,2,.000,2,2,1.000,0,0,0,10,0,0,2,0,16,15.4,+1
6,2019-11-01,31-028,DET,@,CHI,L (-6),0,24:40,8,13,.615,0,0,,7,9,.778,0,1,1,7,3,1,4,2,23,20.4,+6
,2019-11-02,31-029,DET,,BRK,W (+4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,31-031,DET,@,WAS,L (-16),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,31-033,DET,,NYK,W (+20),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,31-035,DET,@,IND,L (-6),,,,,,,,,,,,,,,,,,,,,,
7,2019-11-11,31-038,DET,,MIN,L (-6),1,19:54,3,13,.231,0,2,.000,0,0,,1,2,3,5,2,1,0,0,6,5.6,+1
