game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,28-260,ORL,,CLE,W (+9),0,19:28,4,13,.308,2,7,.286,0,0,,0,4,4,0,2,0,1,1,10,4.3,+17
2,2019-10-26,28-263,ORL,@,ATL,L (-4),0,23:40,1,8,.125,1,6,.167,5,5,1.000,0,4,4,1,0,0,1,1,8,3.3,+6
3,2019-10-28,28-265,ORL,@,TOR,L (-9),0,23:45,4,11,.364,1,8,.125,2,3,.667,0,4,4,1,1,0,3,0,11,4.4,-6
4,2019-10-30,28-267,ORL,,NYK,W (+12),0,22:19,1,10,.100,0,6,.000,0,0,,1,0,1,2,0,0,0,4,2,-4.1,-13
5,2019-11-01,28-269,ORL,,MIL,L (-32),0,20:52,4,15,.267,2,8,.250,1,1,1.000,1,1,2,1,1,0,2,3,11,1.6,-26
6,2019-11-02,28-270,ORL,,DEN,L (-4),0,22:19,4,9,.444,2,6,.333,0,0,,1,4,5,3,2,1,2,2,10,9.2,-1
7,2019-11-05,28-273,ORL,@,OKC,L (-8),0,22:46,2,5,.400,0,1,.000,2,2,1.000,1,2,3,2,0,1,2,3,6,3.5,+4
,2019-11-06,28-274,ORL,@,DAL,L (-1),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,28-276,ORL,,MEM,W (+32),,,,,,,,,,,,,,,,,,,,,,
8,2019-11-10,28-278,ORL,,IND,L (-7),0,18:48,5,6,.833,2,3,.667,0,0,,0,2,2,0,1,0,1,0,12,10.4,-4
