game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-173,IND,,DET,L (-9),1,35:42,11,15,.733,0,1,.000,5,5,1.000,5,8,13,2,0,0,2,5,27,24.2,+3
2,2019-10-26,23-176,IND,@,CLE,L (-11),1,32:50,6,13,.462,0,0,,2,2,1.000,0,5,5,2,2,0,5,4,14,5.6,-17
3,2019-10-28,23-178,IND,@,DET,L (-2),1,38:43,8,18,.444,1,2,.500,4,5,.800,4,10,14,1,0,0,1,2,21,15.9,+7
4,2019-10-30,23-180,IND,@,BRK,W (+10),1,36:21,11,18,.611,2,4,.500,5,6,.833,3,5,8,4,1,1,3,4,29,23.9,+26
5,2019-11-01,23-182,IND,,CLE,W (+7),1,37:17,9,15,.600,0,0,,0,0,,3,14,17,4,0,2,2,4,18,18.0,0
,2019-11-03,23-184,IND,,CHI,W (+13),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,23-186,IND,@,CHO,L (-2),,,,,,,,,,,,,,,,,,,,,,
6,2019-11-06,23-187,IND,,WAS,W (+15),1,27:59,4,11,.364,0,0,,5,6,.833,4,13,17,7,2,1,4,6,13,14.4,+24
7,2019-11-08,23-189,IND,,DET,W (+6),1,38:42,6,14,.429,0,2,.000,5,6,.833,4,10,14,6,0,1,1,4,17,17.3,+6
8,2019-11-10,23-191,IND,@,ORL,W (+7),1,37:32,9,18,.500,0,2,.000,3,4,.750,3,13,16,7,1,1,2,2,21,21.4,+5
