game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,26-217,IND,,DET,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,26-220,IND,@,CLE,L (-11),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,26-222,IND,@,DET,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,26-224,IND,@,BRK,W (+10),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-01,26-226,IND,,CLE,W (+7),0,10:22,2,7,.286,0,2,.000,0,0,,1,0,1,0,0,1,0,2,4,0.5,-1
2,2019-11-03,26-228,IND,,CHI,W (+13),1,19:12,2,4,.500,0,0,,0,4,.000,1,3,4,0,0,1,2,2,4,-0.1,+6
3,2019-11-05,26-230,IND,@,CHO,L (-2),1,20:24,3,5,.600,1,2,.500,0,0,,2,2,4,1,0,1,0,5,7,6.1,+3
4,2019-11-06,26-231,IND,,WAS,W (+15),1,23:47,7,12,.583,0,3,.000,0,0,,1,5,6,1,2,1,0,1,14,13.6,+12
5,2019-11-08,26-233,IND,,DET,W (+6),1,27:10,4,5,.800,0,1,.000,2,3,.667,1,1,2,0,1,1,1,3,10,8.2,+4
6,2019-11-10,26-235,IND,@,ORL,W (+7),1,23:55,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,2,2,2.2,+1
