game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,27-358,CHI,@,CHO,L (-1),1,24:22,1,5,.200,0,0,,0,0,,0,0,0,3,0,1,0,2,2,0.9,+4
2,2019-10-25,27-360,CHI,@,MEM,W (+8),1,21:57,2,7,.286,0,2,.000,5,5,1.000,3,0,3,2,4,1,1,2,9,11.3,+8
3,2019-10-26,27-361,CHI,,TOR,L (-24),1,26:18,3,7,.429,2,4,.500,0,0,,1,1,2,4,1,0,1,3,8,6.9,-20
4,2019-10-28,27-363,CHI,@,NYK,L (-7),1,26:48,1,5,.200,0,3,.000,0,0,,1,2,3,5,1,0,1,2,2,2.9,-4
5,2019-10-30,28-000,CHI,@,CLE,L (-6),1,27:15,2,5,.400,2,2,1.000,2,2,1.000,0,2,2,8,0,0,1,3,8,9.3,+5
6,2019-11-01,28-002,CHI,,DET,W (+6),1,26:27,2,6,.333,1,2,.500,2,2,1.000,0,0,0,6,0,0,4,1,7,3.4,+10
7,2019-11-03,28-004,CHI,@,IND,L (-13),1,26:59,4,6,.667,1,3,.333,0,0,,1,3,4,9,2,0,4,1,9,11.9,-10
8,2019-11-05,28-006,CHI,,LAL,L (-6),1,26:34,3,5,.600,1,1,1.000,0,0,,0,4,4,6,1,0,1,1,7,9.7,-10
9,2019-11-06,28-007,CHI,@,ATL,W (+20),1,30:00,10,13,.769,4,5,.800,3,4,.750,2,5,7,8,1,0,4,4,27,25.4,+17
10,2019-11-09,28-010,CHI,,HOU,L (-23),1,23:58,4,11,.364,0,2,.000,2,3,.667,1,2,3,4,3,0,3,3,10,6.4,-14
