game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,26-038,OKC,@,UTA,L (-5),0,30:40,1,8,.125,1,3,.333,0,0,,1,5,6,4,0,0,2,2,3,0.0,-3
2,2019-10-25,26-040,OKC,,WAS,L (-12),0,25:09,4,14,.286,0,3,.000,1,2,.500,0,4,4,3,1,1,2,2,9,2.6,-13
3,2019-10-27,26-042,OKC,,GSW,W (+28),0,25:20,9,12,.750,1,2,.500,3,3,1.000,1,7,8,6,4,0,4,4,22,22.6,+27
4,2019-10-28,26-043,OKC,@,HOU,L (-4),0,33:51,8,13,.615,4,8,.500,2,3,.667,2,3,5,7,1,0,3,5,22,18.9,+12
5,2019-10-30,26-045,OKC,,POR,L (-3),0,27:54,6,17,.353,0,4,.000,5,6,.833,1,3,4,2,1,0,3,5,17,6.1,+6
6,2019-11-02,26-048,OKC,,NOP,W (+11),0,29:13,7,17,.412,0,4,.000,3,5,.600,1,8,9,2,1,1,1,2,17,11.5,+20
7,2019-11-05,26-051,OKC,,ORL,W (+8),0,31:10,2,11,.182,1,3,.333,0,0,,0,1,1,3,0,0,3,3,5,-3.7,-1
8,2019-11-07,26-053,OKC,@,SAS,L (-9),0,26:33,4,11,.364,1,3,.333,2,2,1.000,0,3,3,9,0,0,4,2,11,7.3,+1
9,2019-11-09,26-055,OKC,,GSW,W (+6),0,33:12,6,13,.462,2,8,.250,2,2,1.000,0,6,6,6,1,1,4,2,16,12.2,-5
10,2019-11-10,26-056,OKC,,MIL,L (-2),0,29:41,9,12,.750,3,5,.600,4,6,.667,1,5,6,5,3,0,4,5,25,22.1,+18
