game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,22-223,LAC,,LAL,W (+10),1,26:26,3,8,.375,2,4,.500,0,0,,0,3,3,2,0,0,0,1,8,5.5,-1
2,2019-10-24,22-225,LAC,@,GSW,W (+19),1,33:56,4,5,.800,3,4,.750,0,0,,0,0,0,3,0,1,1,2,11,10.1,+15
3,2019-10-26,22-227,LAC,@,PHO,L (-8),1,35:43,1,6,.167,1,6,.167,3,3,1.000,0,0,0,4,0,0,0,5,6,3.0,-16
4,2019-10-28,22-229,LAC,,CHO,W (+15),1,35:13,6,12,.500,4,9,.444,0,0,,0,4,4,2,1,0,3,4,16,9.0,+18
5,2019-10-30,22-231,LAC,@,UTA,L (-14),1,32:54,1,7,.143,0,3,.000,3,3,1.000,0,1,1,2,1,0,3,3,5,-1.0,-8
6,2019-10-31,22-232,LAC,,SAS,W (+6),1,25:38,2,8,.250,1,7,.143,2,2,1.000,0,0,0,2,1,0,0,3,7,3.4,+2
7,2019-11-03,22-235,LAC,,UTA,W (+11),1,26:53,4,12,.333,2,8,.250,0,0,,0,2,2,0,0,0,0,2,10,3.0,-12
8,2019-11-06,22-238,LAC,,MIL,L (-5),1,29:11,5,10,.500,4,8,.500,0,0,,0,3,3,0,0,0,2,4,14,6.3,-3
9,2019-11-07,22-239,LAC,,POR,W (+6),1,30:07,2,4,.500,2,4,.500,2,2,1.000,0,1,1,0,1,0,2,3,8,4.1,+7
10,2019-11-11,22-243,LAC,,TOR,W (+10),1,18:09,2,5,.400,2,5,.400,0,0,,0,1,1,2,0,0,1,4,6,2.4,+6
