game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-22,25-203,TOR,,NOP,W (+8),1,38:09,11,26,.423,2,5,.400,10,11,.909,6,12,18,5,0,1,4,6,34,25.4,+5
2,2019-10-25,25-206,TOR,@,BOS,L (-6),1,35:41,11,22,.500,5,7,.714,6,6,1.000,2,6,8,2,0,0,5,2,33,20.8,-2
3,2019-10-26,25-207,TOR,@,CHI,W (+24),1,28:05,7,15,.467,1,5,.200,4,4,1.000,1,5,6,4,1,0,4,5,19,11.3,+22
4,2019-10-28,25-209,TOR,,ORL,W (+9),1,35:58,9,16,.563,1,4,.250,5,5,1.000,1,8,9,3,0,0,3,5,24,16.6,+9
5,2019-10-30,25-211,TOR,,DET,W (+12),1,30:16,13,21,.619,3,6,.500,1,1,1.000,0,5,5,5,2,0,2,3,30,24.3,+20
6,2019-11-02,25-214,TOR,@,MIL,L (-10),1,32:23,7,19,.368,2,6,.333,0,0,,1,4,5,1,1,0,1,6,16,5.7,+5
7,2019-11-06,25-218,TOR,,SAC,W (+4),1,37:02,8,13,.615,0,3,.000,7,8,.875,1,12,13,5,2,0,3,1,23,23.1,+9
8,2019-11-08,25-220,TOR,@,NOP,W (+18),1,38:59,17,28,.607,5,10,.500,5,5,1.000,3,7,10,4,0,0,4,4,44,32.6,+6
9,2019-11-10,25-222,TOR,@,LAL,W (+9),1,42:14,9,25,.360,1,8,.125,5,8,.625,2,9,11,4,1,3,3,2,24,15.1,+15
10,2019-11-11,25-223,TOR,@,LAC,L (-10),1,43:35,6,17,.353,1,6,.167,3,6,.500,1,9,10,6,0,1,1,3,16,11.4,-6
