game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,20-137,POR,,DEN,L (-8),0,12:16,2,7,.286,0,2,.000,1,2,.500,0,0,0,0,2,0,1,2,5,0.7,-5
2,2019-10-25,20-139,POR,@,SAC,W (+10),0,21:09,6,9,.667,3,6,.500,0,0,,0,2,2,0,1,0,3,1,15,9.3,-3
3,2019-10-27,20-141,POR,@,DAL,W (+2),0,15:04,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,1,3,0.6,+2
4,2019-10-28,20-142,POR,@,SAS,L (-3),0,21:01,5,9,.556,0,1,.000,0,0,,1,1,2,1,1,0,2,2,10,5.6,+4
5,2019-10-30,20-144,POR,@,OKC,W (+3),0,15:32,3,6,.500,1,3,.333,0,0,,0,3,3,1,0,0,0,2,7,4.8,+1
6,2019-11-02,20-147,POR,,PHI,L (-1),0,14:18,4,6,.667,3,5,.600,2,2,1.000,0,1,1,2,0,1,2,1,13,10.4,-10
7,2019-11-04,20-149,POR,@,GSW,L (-9),0,19:07,5,10,.500,1,3,.333,3,3,1.000,0,2,2,1,2,0,0,4,14,10.7,+8
8,2019-11-07,20-152,POR,@,LAC,L (-6),0,26:07,5,13,.385,3,8,.375,4,6,.667,1,1,2,2,0,0,0,3,17,10.3,-7
9,2019-11-08,20-153,POR,,BRK,L (-4),0,35:35,5,14,.357,2,7,.286,3,4,.750,0,4,4,2,0,1,0,1,15,9.7,-4
10,2019-11-10,20-155,POR,,ATL,W (+11),0,24:10,8,12,.667,3,5,.600,1,1,1.000,1,2,3,2,2,0,2,3,20,16.3,-6
