game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,21-332,NYK,@,SAS,L (-9),0,10:20,1,4,.250,0,1,.000,0,0,,0,0,0,1,0,0,0,3,2,-0.9,-3
2,2019-10-25,21-334,NYK,@,BRK,L (-4),0,4:31,0,4,.000,0,1,.000,1,2,.500,0,0,0,1,0,1,0,0,1,-0.8,-8
3,2019-10-26,21-335,NYK,,BOS,L (-23),0,11:21,0,3,.000,0,1,.000,0,0,,0,1,1,1,1,0,2,3,0,-3.3,-15
,2019-10-28,21-337,NYK,,CHI,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,21-339,NYK,@,ORL,L (-12),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,21-341,NYK,@,BOS,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,21-343,NYK,,SAC,L (-21),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,21-346,NYK,@,DET,L (-20),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,21-348,NYK,@,DAL,W (+4),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,21-350,NYK,,CLE,L (-21),,,,,,,,,,,,,,,,,,,,,,
