game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,23-296,IND,,DET,L (-9),0,21:53,3,6,.500,0,0,,0,0,,1,0,1,2,3,0,1,4,6,5.5,-23
2,2019-10-26,23-299,IND,@,CLE,L (-11),1,16:32,4,5,.800,0,1,.000,2,3,.667,0,1,1,1,0,0,0,4,10,7.1,-13
3,2019-10-28,23-301,IND,@,DET,L (-2),1,28:07,2,7,.286,0,2,.000,1,2,.500,0,1,1,3,2,1,0,1,5,5.2,+3
,2019-10-30,23-303,IND,@,BRK,W (+10),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,23-305,IND,,CLE,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-11-03,23-307,IND,,CHI,W (+13),,,,,,,,,,,,,,,,,,,,,,
,2019-11-05,23-309,IND,@,CHO,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-06,23-310,IND,,WAS,W (+15),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,23-312,IND,,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,23-314,IND,@,ORL,W (+7),,,,,,,,,,,,,,,,,,,,,,
