game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,31-135,MIN,@,BRK,W (+1),1,34:34,5,8,.625,0,1,.000,4,4,1.000,0,3,3,4,1,0,3,4,14,10.5,-7
2,2019-10-25,31-137,MIN,@,CHO,W (+22),1,22:19,1,4,.250,0,2,.000,2,3,.667,0,2,2,5,2,0,1,1,4,5.9,+7
3,2019-10-27,31-139,MIN,,MIA,W (+7),1,31:04,5,8,.625,1,3,.333,10,11,.909,0,1,1,8,1,0,1,1,21,22.5,+10
4,2019-10-30,31-142,MIN,@,PHI,L (-22),1,24:35,6,13,.462,2,4,.500,1,2,.500,0,1,1,5,0,0,3,4,15,7.1,-12
5,2019-11-02,31-145,MIN,@,WAS,W (+22),1,27:37,6,12,.500,2,5,.400,1,1,1.000,0,4,4,13,3,0,4,1,15,17.9,+32
6,2019-11-04,31-147,MIN,,MIL,L (-28),1,18:05,3,7,.429,0,0,,4,4,1.000,0,2,2,3,1,1,2,5,10,6.7,-25
,2019-11-06,31-149,MIN,@,MEM,L (-16),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,31-151,MIN,,GSW,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,31-153,MIN,,DEN,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,31-154,MIN,@,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
