game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,23-168,DET,@,IND,W (+9),,,,,,,,,,,,,,,,,,,,,,
,2019-10-24,23-169,DET,,ATL,L (-17),,,,,,,,,,,,,,,,,,,,,,
,2019-10-26,23-171,DET,,PHI,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,23-173,DET,,IND,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,23-175,DET,@,TOR,L (-12),,,,,,,,,,,,,,,,,,,,,,
,2019-11-01,23-177,DET,@,CHI,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,23-178,DET,,BRK,W (+4),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-04,23-180,DET,@,WAS,L (-16),0,1:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2,2019-11-06,23-182,DET,,NYK,W (+20),0,3:43,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,-4
,2019-11-08,23-184,DET,@,IND,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,23-187,DET,,MIN,L (-6),,,,,,,,,,,,,,,,,,,,,,
